frequency,raw,target
20.00,-18.64,82.00
20.20,-18.91,82.00
20.40,-19.09,81.99
20.61,-19.20,81.99
20.81,-19.12,81.98
21.02,-18.99,81.98
21.23,-18.83,81.97
21.44,-18.71,81.97
21.66,-18.64,81.96
21.87,-18.64,81.96
22.09,-18.72,81.95
22.31,-18.89,81.95
22.54,-19.07,81.94
22.76,-19.25,81.94
22.99,-19.33,81.93
23.22,-19.32,81.93
23.45,-19.22,81.92
23.69,-18.95,81.91
23.92,-18.72,81.91
24.16,-18.54,81.90
24.40,-18.58,81.90
24.65,-18.70,81.89
24.89,-18.85,81.89
25.14,-18.93,81.88
25.39,-18.96,81.87
25.65,-18.99,81.87
25.91,-19.07,81.86
26.16,-19.09,81.86
26.43,-19.03,81.85
26.69,-18.87,81.84
26.96,-18.62,81.84
27.23,-18.41,81.83
27.50,-18.23,81.82
27.77,-18.11,81.82
28.05,-17.89,81.81
28.33,-17.55,81.81
28.62,-16.91,81.80
28.90,-16.28,81.79
29.19,-15.82,81.79
29.48,-15.78,81.78
29.78,-16.17,81.77
30.08,-16.65,81.76
30.38,-17.11,81.76
30.68,-17.44,81.75
30.99,-17.76,81.74
31.30,-18.09,81.74
31.61,-18.33,81.73
31.93,-18.46,81.72
32.24,-18.50,81.71
32.57,-18.47,81.71
32.89,-18.42,81.70
33.22,-18.36,81.69
33.55,-18.28,81.68
33.89,-18.19,81.67
34.23,-18.08,81.67
34.57,-17.93,81.66
34.92,-17.71,81.65
35.27,-17.51,81.64
35.62,-17.33,81.63
35.97,-17.33,81.63
36.33,-17.40,81.62
36.70,-17.52,81.61
37.06,-17.63,81.60
37.43,-17.69,81.59
37.81,-17.71,81.58
38.19,-17.72,81.57
38.57,-17.72,81.56
38.95,-17.72,81.55
39.34,-17.72,81.54
39.74,-17.74,81.53
40.14,-17.75,81.52
40.54,-17.74,81.52
40.94,-17.61,81.51
41.35,-17.41,81.50
41.76,-17.15,81.49
42.18,-16.94,81.47
42.60,-16.74,81.46
43.03,-16.53,81.45
43.46,-16.30,81.44
43.90,-16.06,81.43
44.33,-15.82,81.42
44.78,-15.55,81.41
45.23,-15.19,81.40
45.68,-14.79,81.39
46.13,-14.37,81.38
46.60,-14.15,81.37
47.06,-13.98,81.35
47.53,-13.80,81.34
48.01,-12.96,81.33
48.49,-11.83,81.32
48.97,-10.42,81.31
49.46,-9.40,81.30
49.96,-8.52,81.28
50.46,-7.71,81.27
50.96,-6.56,81.26
51.47,-5.31,81.24
51.99,-4.13,81.23
52.51,-3.33,81.22
53.03,-2.75,81.20
53.56,-2.14,81.19
54.10,-1.35,81.18
54.64,-0.47,81.16
55.18,0.34,81.15
55.74,1.05,81.13
56.29,1.57,81.12
56.86,1.87,81.10
57.42,1.93,81.09
58.00,1.43,81.07
58.58,0.92,81.06
59.16,0.45,81.04
59.76,0.31,81.03
60.35,0.44,81.01
60.96,0.59,81.00
61.57,0.47,80.98
62.18,0.30,80.96
62.80,0.24,80.94
63.43,0.40,80.92
64.07,0.81,80.90
64.71,1.19,80.88
65.35,1.48,80.86
66.01,1.61,80.84
66.67,1.91,80.82
67.33,2.38,80.80
68.01,3.04,80.77
68.69,3.58,80.75
69.37,4.00,80.73
70.07,4.28,80.71
70.77,4.60,80.68
71.48,4.99,80.66
72.19,5.50,80.64
72.91,6.20,80.61
73.64,7.05,80.59
74.38,8.09,80.57
75.12,9.21,80.54
75.87,10.14,80.51
76.63,10.83,80.49
77.40,11.07,80.46
78.17,11.17,80.43
78.95,11.13,80.41
79.74,10.91,80.38
80.54,10.44,80.35
81.35,9.89,80.32
82.16,9.48,80.29
82.98,9.55,80.26
83.81,9.96,80.23
84.65,10.76,80.20
85.50,11.80,80.17
86.35,12.89,80.14
87.22,13.97,80.10
88.09,14.95,80.07
88.97,15.63,80.04
89.86,16.02,80.01
90.76,16.03,79.97
91.66,16.01,79.94
92.58,15.99,79.91
93.51,16.01,79.87
94.44,15.73,79.84
95.39,15.00,79.80
96.34,13.40,79.76
97.30,11.33,79.73
98.28,9.30,79.69
99.26,7.52,79.66
100.25,6.63,79.62
101.25,6.19,79.58
102.27,6.18,79.55
103.29,6.31,79.51
104.32,6.54,79.47
105.37,6.89,79.43
106.42,7.34,79.39
107.48,8.06,79.36
108.56,9.12,79.32
109.64,10.93,79.28
110.74,13.12,79.24
111.85,15.18,79.20
112.97,16.63,79.16
114.10,16.43,79.12
115.24,15.51,79.08
116.39,13.95,79.04
117.55,13.44,79.00
118.73,13.69,78.96
119.92,14.61,78.92
121.12,15.00,78.88
122.33,14.33,78.83
123.55,12.83,78.79
124.79,10.65,78.75
126.03,8.68,78.71
127.29,7.01,78.67
128.57,5.94,78.62
129.85,5.71,78.58
131.15,6.04,78.54
132.46,7.05,78.50
133.79,8.15,78.46
135.12,9.16,78.41
136.48,10.03,78.37
137.84,10.78,78.33
139.22,11.41,78.29
140.61,11.89,78.24
142.02,11.55,78.20
143.44,10.88,78.16
144.87,10.09,78.11
146.32,9.60,78.07
147.78,9.43,78.03
149.26,9.26,77.99
150.75,8.78,77.94
152.26,7.87,77.90
153.78,6.98,77.86
155.32,6.31,77.82
156.88,6.32,77.78
158.44,6.44,77.73
160.03,6.61,77.69
161.63,6.34,77.65
163.24,6.06,77.61
164.88,5.83,77.57
166.53,5.89,77.53
168.19,5.81,77.49
169.87,5.57,77.45
171.57,5.01,77.41
173.29,4.95,77.37
175.02,5.30,77.34
176.77,6.21,77.30
178.54,6.64,77.26
180.32,6.49,77.22
182.13,5.61,77.19
183.95,4.60,77.15
185.79,4.22,77.12
187.65,4.48,77.08
189.52,5.32,77.05
191.42,5.74,77.02
193.33,5.72,76.98
195.27,4.81,76.95
197.22,3.98,76.92
199.19,3.39,76.89
201.18,3.43,76.86
203.19,3.64,76.83
205.23,3.76,76.80
207.28,3.62,76.77
209.35,3.19,76.75
211.44,2.84,76.72
213.56,2.63,76.70
215.69,2.80,76.67
217.85,2.94,76.65
220.03,3.03,76.62
222.23,2.96,76.60
224.45,2.82,76.58
226.70,2.64,76.55
228.96,2.44,76.53
231.25,2.13,76.51
233.57,1.88,76.49
235.90,1.87,76.47
238.26,2.41,76.45
240.64,2.98,76.44
243.05,3.40,76.42
245.48,3.17,76.40
247.93,2.72,76.38
250.41,2.07,76.37
252.92,1.39,76.35
255.45,0.78,76.34
258.00,0.27,76.32
260.58,0.23,76.31
263.19,0.47,76.30
265.82,0.82,76.28
268.48,1.11,76.27
271.16,1.41,76.26
273.87,1.80,76.25
276.61,2.36,76.24
279.38,2.45,76.23
282.17,2.24,76.21
284.99,1.68,76.20
287.84,1.14,76.19
290.72,0.75,76.19
293.63,0.49,76.18
296.57,0.14,76.17
299.53,-0.41,76.16
302.53,-1.04,76.15
305.55,-1.50,76.15
308.61,-1.58,76.14
311.69,-1.44,76.13
314.81,-1.12,76.12
317.96,-0.90,76.12
321.14,-0.66,76.11
324.35,-0.34,76.11
327.59,0.11,76.10
330.87,0.38,76.09
334.18,0.40,76.09
337.52,-0.10,76.09
340.90,-0.68,76.08
344.30,-1.29,76.08
347.75,-1.68,76.07
351.23,-2.02,76.07
354.74,-2.32,76.06
358.28,-2.54,76.06
361.87,-2.59,76.06
365.49,-2.47,76.05
369.14,-2.08,76.05
372.83,-1.60,76.05
376.56,-1.13,76.04
380.33,-0.71,76.04
384.13,-0.52,76.04
387.97,-0.41,76.04
391.85,-0.36,76.03
395.77,-0.48,76.03
399.73,-0.64,76.03
403.72,-0.85,76.03
407.76,-1.14,76.02
411.84,-1.41,76.02
415.96,-1.61,76.02
420.12,-1.62,76.02
424.32,-1.46,76.02
428.56,-1.36,76.01
432.85,-1.46,76.01
437.18,-1.82,76.01
441.55,-2.17,76.01
445.96,-2.45,76.01
450.42,-2.67,76.00
454.93,-2.84,76.00
459.48,-2.95,76.00
464.07,-2.76,76.00
468.71,-2.51,76.00
473.40,-2.28,76.00
478.13,-2.30,75.99
482.91,-2.53,75.99
487.74,-2.83,75.99
492.62,-3.12,75.99
497.55,-3.32,75.99
502.52,-3.45,75.98
507.55,-3.52,75.98
512.62,-3.41,75.98
517.75,-3.22,75.98
522.93,-2.95,75.98
528.16,-2.71,75.97
533.44,-2.54,75.97
538.77,-2.45,75.97
544.16,-2.60,75.97
549.60,-2.83,75.97
555.10,-3.10,75.96
560.65,-3.32,75.96
566.25,-3.53,75.96
571.92,-3.72,75.96
577.64,-3.89,75.95
583.41,-4.03,75.95
589.25,-4.21,75.95
595.14,-4.45,75.95
601.09,-4.85,75.94
607.10,-5.22,75.94
613.17,-5.52,75.94
619.30,-5.62,75.93
625.50,-5.78,75.93
631.75,-6.00,75.93
638.07,-6.42,75.92
644.45,-6.73,75.92
650.89,-6.91,75.92
657.40,-6.87,75.91
663.98,-6.83,75.91
670.62,-6.82,75.90
677.32,-6.87,75.90
684.10,-6.60,75.90
690.94,-6.08,75.89
697.85,-5.29,75.89
704.83,-4.30,75.88
711.87,-3.37,75.88
718.99,-2.50,75.88
726.18,-1.79,75.87
733.44,-1.24,75.87
740.78,-0.83,75.86
748.19,-0.62,75.86
